parent folder,file name,modality,Radiologist Score,Err,kspace shape,reconstruction shape,kspace nan or inf count,reconstruction nan or inf count,kspace min,kspace max,kspace mean,kspace std,reconstruction min,reconstruction max,reconstruction mean,reconstruction std
MultiCoil,Center001_UIH_30T_umr780_P001_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 446, 198)","(12, 1, 446, 198)",0,0,3.733958947,7469246.834,31039.22528,102682.4836,2776.977964,3410208.518,147672.9567,305391.4822
MultiCoil,Center001_UIH_30T_umr780_P001_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 442, 198)","(12, 1, 442, 198)",0,0,7.486412028,8135351.324,32837.95876,105798.1145,3385.422871,2710400.32,167681.9233,307568.6888
MultiCoil,Center001_UIH_30T_umr780_P001_lge_lax_2ch.h5,2ch,5,,"(2, 1, 10, 510, 175)","(2, 1, 510, 175)",0,0,6.521905209,5527020.17,18228.54956,48945.94792,3304.216695,1204836.273,95073.16912,135059.0644
MultiCoil,Center001_UIH_30T_umr780_P001_lge_lax_4ch.h5,4ch,4,,"(2, 3, 10, 514, 175)","(2, 3, 514, 175)",0,0,3.314957288,8091318.799,14906.83503,53295.1328,3865.547059,1403662.563,100463.4659,143293.1999
MultiCoil,Center001_UIH_30T_umr780_P001_perfusion.h5,perfusion,5,,"(50, 4, 10, 384, 131)","(50, 4, 384, 131)",0,0,1.722271532,4344081.92,14543.99541,34645.32283,3552.530172,951941.16,67618.72199,97703.48203
MultiCoil,Center001_UIH_30T_umr780_P001_T1map.h5,T1map,5,,"(8, 3, 10, 512, 161)","(8, 3, 512, 161)",0,0,1.200942471,10385977.93,45913.30451,136232.3174,5655.050077,4812891.79,223549.7572,395851.3161
MultiCoil,Center001_UIH_30T_umr780_P001_T1mappost.h5,T1mappost,5,poor contrast,"(9, 3, 10, 516, 161)","(9, 3, 516, 161)",0,0,5.060867242,10886089.86,46432.54229,135324.616,6014.840872,4996102.473,225413.2655,392270.5528
MultiCoil,Center001_UIH_30T_umr780_P001_T2map.h5,T2map,5,,"(3, 3, 10, 386, 157)","(3, 3, 386, 157)",0,0,5.451427202,6115378.072,30574.30063,80206.12002,3000.206937,3242303.785,137473.82,234049.2347
MultiCoil,Center001_UIH_30T_umr780_P001_T2w.h5,T2w,3,"poor contrast in slice 0, 1","(9, 10, 514, 201)","(9, 514, 201)",0,0,2.370844859,14865519.18,26839.02834,109731.5378,3578.72213,10670655.91,152384.0572,323098.3401
MultiCoil,Center001_UIH_30T_umr780_P002_cine_sax.h5,sax,5,,"(12, 2, 10, 444, 198)","(12, 2, 444, 198)",0,0,4.235594005,4277971.756,33218.01946,80963.04598,3257.053096,4493471.909,124346.3256,247229.6658
MultiCoil,Center001_UIH_30T_umr780_P002_T1map.h5,T1map,5,,"(8, 3, 10, 506, 161)","(8, 3, 506, 161)",0,0,5.273397933,12465671.0,46855.60182,107942.5551,5245.650278,4222525.573,179302.8613,326068.8734
MultiCoil,Center001_UIH_30T_umr780_P002_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 382, 137)","(4, 3, 382, 137)",0,0,5.167743443,5230221.783,33910.83927,72094.94919,3516.932376,2842365.328,129956.4589,215841.5761
MultiCoil,Center001_UIH_30T_umr780_P002_T2map.h5,T2map,5,,"(3, 3, 10, 374, 157)","(3, 3, 374, 157)",0,0,4.127325248,7041108.744,38039.40689,89494.89456,3002.415022,3423105.032,136414.8294,275598.1143
MultiCoil,Center001_UIH_30T_umr780_P003_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 438, 198)","(12, 1, 438, 198)",0,0,2.76602721,5030869.705,29668.31173,74744.97744,3437.807565,2726429.441,114715.1931,226959.5299
MultiCoil,Center001_UIH_30T_umr780_P003_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 446, 198)","(12, 1, 446, 198)",0,0,3.485039307,5523292.645,30074.46085,77110.02664,3776.373519,2728858.857,112999.2831,236083.5785
MultiCoil,Center001_UIH_30T_umr780_P003_cine_sax.h5,sax,5,,"(12, 11, 10, 448, 198)","(12, 11, 448, 198)",0,0,1.186798084,4334050.133,23664.8783,54361.04653,3754.698805,4376446.926,97125.25155,160368.8996
MultiCoil,Center001_UIH_30T_umr780_P003_T1map.h5,T1map,5,,"(8, 3, 10, 510, 161)","(8, 3, 510, 161)",0,0,1.614109351,6518219.603,39000.464,86535.78446,6143.640364,7738169.356,153628.5774,257862.4479
MultiCoil,Center001_UIH_30T_umr780_P003_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 380, 137)","(4, 3, 380, 137)",0,0,3.882207878,5191291.957,26501.81874,58668.81489,4340.347633,2950565.225,117782.2406,166045.4943
MultiCoil,Center001_UIH_30T_umr780_P003_T2map.h5,T2map,5,,"(3, 3, 10, 382, 157)","(3, 3, 382, 157)",0,0,7.078986049,5448856.599,30101.7492,66664.53289,2491.225917,4712852.736,113278.69,201669.757
MultiCoil,Center001_UIH_30T_umr780_P003_T2smap.h5,T2smap,3,,"(8, 3, 10, 418, 141)","(8, 3, 418, 141)",0,0,5.657396865,4012250.923,27569.57684,51234.68831,4851.437727,5592849.553,102964.3777,152476.5079
MultiCoil,Center001_UIH_30T_umr780_P003_T2w.h5,T2w,3,,"(11, 10, 512, 248)","(11, 512, 248)",0,0,0.0,10947842.71,19801.32592,68199.18608,3907.760562,14142729.08,99929.66254,201112.5989
MultiCoil,Center001_UIH_30T_umr780_P004_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 440, 198)","(12, 1, 440, 198)",0,0,0.828883212,5544889.979,28330.67171,79109.79188,2811.903187,3321095.45,113346.4863,240338.1687
MultiCoil,Center001_UIH_30T_umr780_P004_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 444, 198)","(12, 1, 444, 198)",0,0,4.770636137,7829895.549,27813.9158,78527.05227,3431.422499,2574285.601,118863.9563,235100.9962
MultiCoil,Center001_UIH_30T_umr780_P004_cine_sax.h5,sax,5,,"(12, 2, 10, 450, 198)","(12, 2, 450, 198)",0,0,2.149151672,2741882.869,26694.16861,57560.07965,3732.746736,4545704.532,95785.6516,176302.3625
MultiCoil,Center001_UIH_30T_umr780_P004_T1map.h5,T1map,5,,"(8, 3, 10, 510, 161)","(8, 3, 510, 161)",0,0,7.312580098,11171571.87,52820.98555,111340.8117,5988.106198,6917064.417,192693.637,338729.2296
MultiCoil,Center001_UIH_30T_umr780_P004_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 384, 137)","(4, 3, 384, 137)",0,0,3.699491664,8025377.288,30821.57436,71984.98346,4161.267784,2979014.208,128446.0948,211706.5744
MultiCoil,Center001_UIH_30T_umr780_P004_T2map.h5,T2map,5,,"(3, 3, 10, 390, 157)","(3, 3, 390, 157)",0,0,10.02388625,8363790.022,39376.08237,86470.4163,2631.401989,4779784.408,138053.2722,266865.8494
MultiCoil,Center001_UIH_30T_umr780_P004_T2w.h5,T2w,3,strong artifacts (all T2w in umr780),"(11, 10, 512, 248)","(11, 512, 248)",0,0,0.0,14504584.8,30334.90891,122871.6602,3471.230981,12791171.86,144047.0167,373399.2136
MultiCoil,Center001_UIH_30T_umr780_P005_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,4.203480175,6359945.635,31931.85159,94801.81456,3131.008859,2836656.748,138205.6853,284551.3318
MultiCoil,Center001_UIH_30T_umr780_P005_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,3.517371714,11185656.75,33989.69618,114801.8634,2947.684061,2768314.737,184704.8667,330502.3223
MultiCoil,Center001_UIH_30T_umr780_P005_cine_sax.h5,sax,5,,"(12, 11, 10, 442, 198)","(12, 11, 442, 198)",0,0,1.360307707,5701569.521,29069.63485,74641.95666,3121.351631,6136186.359,129508.2605,217697.6437
